candidate,gender,constituency,seats,party
Carol Hunt,Female,Dun Laoghaire,4,Independent
Katrina Hutchinson,Female,Wicklow,5,Direct Democracy Ireland
Tim Jackson,Male,Donegal,5,Independent
Donal  Jackson,Male,Longford-Westmeath,4,Independent
Peter Jordan,Male,Mayo,4,Independent
Bob Kearns,Male,Wicklow,5,Independent
Pamela  Kearns,Female,Dublin South-West,5,Labour Party
Derek Keating,Male,Dublin Mid-West,4,Fine Gael
Colm Keaveney,Male,Galway East,3,Fianna Fail
Charlie Keddy,Male,Wicklow,5,Independent
Andrew  Keegan,Male,Dublin North-West,3,People Before Profit Alliance
Paul Kehoe,Male,Wexford,5,Fine Gael
John Dominic Keigher,Male,Dublin Bay South,4,Independent
Terry  Kelleher,Male,Dublin Fingal,5,People Before Profit Alliance
Billy Kelleher,Male,Cork North-Central,4,Fianna Fail
Leonard Kelly,Male,Wexford,5,Social Democrats
Alan Kelly,Male,Tipperary,5,Labour Party
John Kelly,Male,Roscommon-Galway,3,Labour Party
Ciaran Kenneally,Male,Cork South-Central ,4,Renua
Mary Kennedy,Female,Kildare South,3,Renua
Niamh Kennedy,Female,Donegal,5,Independent
Enda Kenny,Male,Mayo,4,Fine Gael
Martin Kenny,Male,Sligo-Leitrim,4,Sinn Fein
Gino Kenny,Male,Dublin Mid-West,4,People Before Profit Alliance
Sharon  Keogan,Female,Meath East,3,Independent
Mark  Keogh,Male,Limerick County,3,Direct Democracy Ireland
Ger Keohane,Male,Cork North-Central,4,Independent
Claire  Kerrane,Female,Roscommon-Galway,3,Sinn Fein
Guinan Kerry,Female,Dublin Central,3,Independent
Haroon Khan,Male,Dublin Mid-West,4,Independent
Thomas Kiely,Male,Cork North-Central,4,Independent
Tom Kivlehan,Male,Dublin Mid-West,4,Green Party
Sean Kyne,Male,Galway West,5,Fine Gael
John Lahart,Male,Dublin South-West,5,Fianna Fail
Alan  Lawes,Male,Meath West,3,Direct Democracy Ireland
James  Lawless,Male,Kildare North,4,Fianna Fail
Anthony Lawlor,Male,Kildare North,4,Fine Gael
Rose Leadbetter ,Female,Cork South-Central ,4,Independent
John Leahy,Male,Offaly,3,Renua
Clare Leonard,Male,Dublin Mid-West,4,Independent
Ciara Leonardi Roche,Female,Cork East,4,People Before Profit Alliance
Mary Linehan Foley,Female,Cork East,4,Independent
David Lloyd,Male,Wexford,5,Direct Democracy Ireland
Michael Lowry,Male,Tipperary,5,Independent
Glenna  Lynch,Female,Dublin Bay South,4,Social Democrats
Ciaran  Lynch,Male,Cork South-Central ,4,Labour Party
Ian Lynch,Male,Clare,4,Independent
Kathleen Lynch,Female,Cork North-Central,4,Labour Party
Jon Lyons,Male,Dublin North-West,3,Labour Party
John Lyons,Male,Dublin Bay North,5,People Before Profit Alliance
Micheal Mac Donncha,Male,Dublin Bay North,5,Sinn Fein
Cormac MacKay,Male,Dublin North-West,3,Direct Democracy Ireland
Conor Mac Liam,Male,Carlow-Kilkenny,5,People Before Profit Alliance
Padraig MacLochlainn,Male,Donegal,5,Sinn Fein
Chris MacManus,Male,Sligo-Leitrim,4,Sinn Fein
Marc MacSharry,Male,Sligo-Leitrim,4,Fianna Fail
Alan MacStiofain,Male,Dublin Bay South,4,Independent
Josepha Madigan,Female,Dublin Rathdown,3,Fine Gael
Manchan Magan,Male,Longford-Westmeath,4,Green Party
John Malone,Male,Meath West,3,Independent
Eamonn Maloney,Male,Dublin South-West,5,Independent
Paddy Manning,Male,Carlow-Kilkenny,5,Independent
Stephen  Manning,Male,Mayo,4,Independent
Cormac Manning,Male,Cork North-West,3,Green Party
Catherine Martin,Female,Dublin Rathdown,3,Green Party
Barry  Martin,Male,Dublin Fingal,5,Independents 4 Change
Micheal Martin,Male,Cork South-Central ,4,Fianna Fail
Peter  Matthews,Male,Dublin Rathdown,3,Independent
Steven Matthews,Male,Wicklow,5,Green Party
Paul McAuliffe,Male,Dublin North-West,3,Fianna Fail
Frank McBrearty,Male,Donegal,5,Independent
Noel McCarthy,Male,Cork East,4,Fine Gael
Kieran McCarthy,Male,Cork East,4,Independent
Rachel  McCarthy,Female,Cork South-West,3,Sinn Fein
Michael McCarthy,Male,Cork South-West,3,Labour Party
Charlie McConalogue,Male,Donegal,5,Fianna Fail
Mick McDermott,Male,Cavan-Monaghan,4,Direct Democracy Ireland
Michael  McDonagh,Male,Clare,4,Fianna Fail
Seamus  McDonagh,Male,Meath East,3,The Workers' Party
Mary Lou McDonald,Female,Dublin Central,3,Sinn Fein
Tracy McElhinney,Female,Meath West,3,Labour Party
Suzanne McEneaney,Female,Kildare South,3,Green Party
Helen McEntee,Female,Meath East,3,Fine Gael
Gabrielle McFadden,Female,Longford-Westmeath,4,Fine Gael
Ian McGarvey,Male,Donegal,5,Independent
Finian McGrath,Male,Dublin Bay North,5,Independent
Michael McGrath,Male,Cork South-Central ,4,Fianna Fail
Mattie McGrath,Male,Tipperary,5,Independent
John McGuinness,Male,Carlow-Kilkenny,5,Fianna Fail
David McGuinness ,Male,Dublin West,4,Independent
Joe McHugh,Male,Donegal,5,Fine Gael
Cormac McKay,Male,Dublin Central,3,Independent
Patrick McKee,Male,Carlow-Kilkenny,5,Renua
Noel McKervey,Male,Longford-Westmeath,4,Catholic Democrats
Tony McLoughlin,Male,Sligo-Leitrim,4,Fine Gael
Fiona McLoughlin-Healy,Female,Kildare South,3,Fine Gael
Ronan McMahon,Male,Dublin South-West,5,Renua
Seamus McMenamin,Male,Meath West,3,Green Party
Anne-Marie  McNally,Female,Dublin Mid-West,4,Social Democrats
Michael  McNamara,Male,Clare,4,Labour Party
Jimmy Mee,Male,Cavan-Monaghan,4,Independent
Aengus Melia,Male,Galway East,3,Direct Democracy Ireland
Ashling Merriman,Female,Kildare North,4,People Before Profit Alliance
James Miller,Male,Longford-Westmeath,4,Independent
Denise Mitchell,Female,Dublin Bay North,5,Sinn Fein
Mary  Mitchell O'Connor ,Female,Dun Laoghaire,4,Fine Gael
Michael Mohally,Male,Cork South-Central ,4,Independent
Gerry Molloy,Male,Dublin Fingal,5,Renua
Emmet Moloney,Male,Wexford,5,Independent
Annette Mooney,Female,Dublin Bay South,4,People Before Profit Alliance
Michael  Mooney,Male,Donegal,5,Independent
Sinead Moore,Female,Laois,3,Green Party
Tom Moran,Male,Mayo,4,People Before Profit Alliance
Mary Moran,Female,Louth,5,Labour Party
Kevin Moran,Male,Longford-Westmeath,4,Independent
Oliver  Moran,Male,Cork North-Central,4,Green Party
Noeleen Moran,Female,Clare,4,Sinn Fein
James Morgan,Male,Longford-Westmeath,4,Independent
Norma Moriarty,Female,Kerry,5,Fianna Fail
Seamus Morris,Male,Tipperary,5,Sinn Fein
Michael Moynihan,Male,Cork North-West,3,Fianna Fail
Aindrias  Moynihan ,Male,Cork North-West,3,Fianna Fail
Michelle Mulherin,Female,Mayo,4,Fine Gael
Dermot  Mulqueen,Male,Clare,4,Independent
Imelda Munster,Female,Louth,5,Sinn Fein
Jennifer Murnane O'Connor,Female,Carlow-Kilkenny,5,Fianna Fail
Eugene Murphy,Male,Roscommon-Galway,3,Fianna Fail
Paul  Murphy,Male,Dublin South-West,5,People Before Profit Alliance
Mick Murphy,Male,Cork North-Central,4,Independent
Dara Murphy,Male,Cork North-Central,4,Fine Gael
Kevin  Murphy,Male,Kerry,5,Independent
Eoghan  Murphy,Male,Dublin Bay South,4,Fine Gael
Marie  Murphy,Female,Tipperary,5,Fine Gael
Catherine Murphy,Female,Kildare North,4,Social Democrats
Tony Murphy ,Male,Dublin Fingal,5,Independent
Margaret Murphy O'Mahony,Female,Cork South-West,3,Fianna Fail
Richard Murray,Male,Dublin South-Central,4,Independent
Eamon Murray,Male,Sligo-Leitrim,4,Independent
Johnny Mythen,Male,Wexford,5,Sinn Fein
Gerald  Nash,Male,Louth,5,Labour Party
Hildegarde  Naughten,Female,Galway West,5,Fine Gael
Denis Naughten,Male,Roscommon-Galway,3,Independent
Tom Neville,Male,Limerick County,3,Fine Gael
Sorcha  Nic Cormaic,Female,Dublin Rathdown,3,Sinn Fein
