candidate,gender,party
Grace O'Sullivan,Female,Green Party
Maureen  O'Sullivan,Female,Independent
Jerry O'Sullivan,Male,Independent
Elizabeth  O'Sullivan,Female,Independent
Jan  O'Sullivan,Female,Labour Party
Niall O Tuathail,Male,Social Democrats
Dom  Parker,Male,Anti Austerity Alliance
Willie Penrose,Male,Labour Party
John Perry,Male,Fine Gael
Cieran Perry,Male,Independent
Ann Phelan,Female,Labour Party
John Paul  Phelan,Male,Fine Gael
Gillian Powell,Female,Independent
Averil Power,Female,Independent
Mailo Power,Female,Renua
Cian  Prendiville,Male,People Before Profit Alliance
Thomas Pringle,Male,Independent
Kieran Adam Quigley,Male,Independent
Edward Quilty,Male,Direct Democracy Ireland
Maurice  Quinlivan,Male,Sinn Fein
Anne  Rabbitte ,Female,Fianna Fail
Stephanie Bernadette Regan,Female,Fine Gael
James  Reilly,Male,Fine Gael
Kathryn  Reilly ,Female,Sinn Fein
Gerry Reynolds,Male,Fine Gael
Michael Ring,Male,Fine Gael
Denis Riordan,Male,Independent
Annemarie  Roche,Female,Sinn Fein
Noel Rock,Male,Fine Gael
Tommy Roddy,Male,Independent
Shane Ross,Male,Independent
Patricia  Ryan,Female,Sinn Fein
Ailis Ryan,Female,The Workers' Party
Eamon Ryan,Male,Green Party
Brendan Ryan,Male,Labour Party
Fiona Ryan,Female,People Before Profit Alliance
Teresa Ryan-Feehan,Female,Independent
Eamon Scanlon,Male,Fianna Fail
Mae Sexton,Female,Independent
Alan Shatter,Male,Fine Gael
Margaret Sheehan,Female,Green Party
Seamus Sheridan,Male,Green Party
Sean Sherlock,Male,Labour Party
Dessie Shiels,Male,Independent
Roisin Shortall,Female,Social Democrats
Stephen  Sinclair,Male,Direct Democracy Ireland
Emmett Smith,Male,Independent
Brendan Smith,Male,Fianna Fail
Brid Smith,Female,People Before Profit Alliance
Michael Smith,Male,Fianna Fail
Fergal  Smith,Male,Green Party
Ken Smollen,Male,Irish Democratic Party
Niamh  Smyth,Female,Fianna Fail
Carrie Smyth,Female,Labour Party
Ossian Smyth,Male,Green Party
Ian Noel Smyth,Male,Green Party
Barbara Smyth,Female,Independent
Mary  Smyth ,Female,Renua
Arthur Spring,Male,Labour Party
Emmett  Stagg,Male,Labour Party
Brian Stanley,Male,Sinn Fein
David  Stanton,Male,Fine Gael
Joan Summerville-Malloy,Female,Independent
Bernard Sweeney ,Male,Independent
Eoin Tierney,Male,Independent
Billy  Timmins,Male,Renua
Francis  Timmons,Male,Independent
Peadar  Toibin,Male,Sinn Fein
Robert Troy,Male,Fianna Fail
Joanna  Tuffy,Female,Labour Party
Ted Tynan,Male,The Workers' Party
Sarah Tyrrell,Male,Renua
Kamal  Uddin,Male,Independent
Leo Varadkar,Male,Fine Gael
Deirdre Wadding,Female,People Before Profit Alliance
Mark Wall,Male,Labour Party
Mick Wallace,Male,Independents 4 Change
Adrienne  Wallace,Female,People Before Profit Alliance
Ann Walsh,Female,Green Party
John Walsh,Male,Independent
Noel Walsh,Male,Independent
Karen Warren,Female,Fine Gael
Garett Weldon,Male,People Before Profit Alliance
John Whelan,Male,Labour Party
Mary  White,Female,Fianna Fail
Alex White ,Male,Labour Party
Raymond Whitehead,Male,Direct Democracy Ireland
John  Wilson,Male,Independent
Maeve Yore,Female,Independent
Brendan Young ,Male,Independent
Katherine  Zappone,Female,Independent
